ProjectID,Name,OS Status
0xc7bd0b2faaf873e06066c2a986c2b657ee4c9b31a61bfb5e91825e1dee546dbc,Coinvise,Rejected
0xd3d00c946f62ac8cf49a85e3ab7d295d3b56f68d0b9f1fa4d595742fa372cf78,Compound Finance,Rejected
0x8809b8e6597cfc24a10313db53a1e7b102790160cb803bc47e07848b14fd0b5e,Coordinape,Approved
0x8fa98773f72474172c2fe75fb7ad3ae2274edd1bc1635b77dd175259dbfde5bd,Copin.io,Approved
0xdf3eb6b429b2150c71241de0c591b18c98a3528ad0e8d838d069b6fff291d803,CreateMyToken,Rejected
0x46b434953909491a2555ccb9cdaee3417765721a33a302a470b25aa6926cae61,Crowdmuse,Approved
0x6b8cc2b8d8f7a051927d058af2e742fb940a248c4de357e2a7a6b58f01831d44,Crypto Composite,Rejected
0xf0e2abf650dc97b4223f82ef94fc6251942fff0f4d75d49d63a4017610045907,CyberConnect Protocol,Rejected
0x3f11bc2231f22056737d8bc5338c06bbb1637de54c71a65eed9d6500a8fbd1bc,Cygnus Finance,Rejected
0x44ca2c89a912ec7e3f2a38aaecde63044fcaa3024839eb628081a3bcba9c0490,DackieNFT,Rejected
0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4,DackieSwap,Rejected
0x31ad5901da0dd56bc4e1649645365b03443ac0712c72431bf6132b121b8b96eb,Daimo,Approved
0xa03ec02831ddba6f92dee26ff03642e07aa6085c3c6e2b403119dde5566fa740,DappLearning ZK redpacket,Approved
0x742a9a3a6a97c94f087aa389617407779349416fd68a05dba1a3ef27bb7ec0e4,DappRadar,Rejected
0x38c38455bb0fd71d2929fcf799279569ab5f5c5d3e1f92f8642ce87aa25accdf,Decent.xyz,Rejected
0xae07bfec2c3c90937679f8c8c5c32e80407c09903aa03d1b5e5a075e67592b86,DefiLlama,Rejected
0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,Dmail Network,Rejected
0x54ff216c822bda60476028563e056b6aa5d48aeffa73173267cb988a340c5332,Drakula.app,Approved
0xa4d3729a488eeabcc3a59de70b760391db50e9bf488d5942e704089c58825c24,Egg Wars: A Game on Base,Rejected
0x3065db37b2feaa39fe11e313726e38fc14f461c174629174e2f434f2cfc938f9,Equalizer,Rejected
0x030d3b4efdbeb15c8c70bbb4c4fe194c1893ef126148146235412a5d1eed3b97,EthXY,Rejected
0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,Ethereum Attestation Service (EAS),Approved
0x753735dcf81ae3bd485765a433f7d9fd93f704bc8713d873b4cacfbbec060c0d,Ethos Reserve,Rejected
0x89216c66f45f82595fddb810c78df46fcee9be72181e9c92b26b0ce31bd6f413,Exactly Protocol,Rejected
0x512f97f1de28ad530f752d53bf4f56ed16d34a3121f0512cd5a0485c2074b312,Extra Finance,Rejected
0x808b31862cec6dccf3894bb0e76ce4ca298e4c2820e2ccbf4816da740463b220,Fractal Visions,Rejected
0x20528d941017e017af28e86bd57bec2c7c5467e6ed952941502e04493a966cb3,Gamma,Approved
0x87d49ebca1bda6345aada7953ff55aa18acd69bf97caecdcedfac93b506ef0d6,Gangster Arena,Rejected
0xdc8c675a16e135a3518852b240cde44e9105622473623bf86725a9abb8d18847,Get Mint,Rejected
0x6aa80764b6082947c3b2de86fe12804eb475b0afb719de50b9eed60b86f20535,Gitcoin,Approved
0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d,Gitcoin Passport,Approved
0xe434930e189c807b137ff0d8e2fa6a95eaa57dde574143a02ca0d7fb31a40bea,Giveth,Approved
0xe13ef8130233ba5feca029110f3abf30cb33f7efe2d915ba7e536200b67fe0bf,Glo Dollar,Approved
0xaf344305f30af57f984af95f7c8570fdfcf7520b55e605bb34095ba49f8a385a,Gloom,Approved
0x07bbe4af3099fbf9f18fb4ac7078ee836c5d0d3cc2c29f192dd366455671e2a5,Guac (Farcaster),Rejected
0x3d009f8f7c1e8a3bcbc81ca8ed60d2e86b956dd0fa68c4595f851be37052a2b5,Guild.xyz,Rejected
0x4bb52210fd390559dc9757138ea8ce189d7bd73f15314209775a9c6fecb969fa,HOMES,Rejected
0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,Ham,Rejected
0x41cf185bd4ee6592c65edcb7360e2e56e069fe50ea4adeb7aaee243f7a515c92,Harvest Finance,Approved
0x8967594d2978692a35fea137ba640bb42f11cad907ca6b0bd01f3718fc4c7f5b,Hats Protocol,Approved
0x928dcd931ff2bc44a5d3b15c500adfbf8d3e3a89e4936823e0b3f053c38f978c,Hedgey,Rejected
0x331511dd6300baf10a35b2d3f3953fd7160412b970049b3a63b64564ce26c347,Highlight,Rejected
0x1a6ff49fed19e164fd6b39f668f391cfc7fc493906e942c74997aacee91be632,Holograph Foundation,Rejected
0xa47182d330bd0c5c69b1418462f3f742099138f09bff057189cdd19676a6acd1,Hyperlane,Approved
0x6435c8574014275b1d554a3ab9dd85f775fa3563258ce855d6aeb07e7918f6e5,Hypersub,Rejected
0x3db32e85563bfe1014acc9da5b0d3ff6b802e8205cfce45dd7157c901ece5f36,INT,Rejected
0x4feb65733264313314056d99958c55902bd2e77139123e73090f46249603ae18,Idle,Rejected
0xf234dd929b802645332b513bc9ecc47d83ea513fff791f3a9c6788bbd8229db0,Infusion,Rejected
0x2ddf5b9dc64f873d6557b4f63de936cf278f8851deda857244a1be44d1a1e950,IntentX,Rejected
0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,Ionic Protocol,Rejected
0x01d8c3bc48ed5f94c260dcc8698eb61f48b06f70b0596c65fbcb1f369c092be9,Ironclad Finance,Rejected
0x62043b7744f559522f071821d2a062e2135c21a7759c685cf72ad03f9774b123,Keng Lernitas,Rejected
0x69f13f6351489812a9052412e273ba726383744c8c482ac877c6a4e9f3b1d3ad,Kim Exchange,Rejected
0x5b054742b09f8ce4092a15700ef9781520a6ff2928ba5ee09c78ad4dd8817b85,Kiwi News,Rejected
0x945e356d400d37b4cd548ca3b53d4ee41a075c8b4befd0b8589947b6d8721ad4,Kwenta,Approved
0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,L2Pass,Rejected
0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,LI.FI,Approved
0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,Layer3,Approved
0x3230536d9c471231698a0fe66daeeda963282f2b594ce5a47d3dbfa53ac9d4a5,LayerZero,Rejected
0x447b6819a0fa334f2429f86c022cf75ef3cad7e6e96078cb361ab961514b5125,Let's Get HAI,Approved
0x7747e26c3538f93bc67d9e13f343464996624e96fe549e3be484e848a1f61732,Lido Finance,Approved
0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,Linkdrop,Approved
0xb0c8fe8e359a91bc2fa4b7498e2c7f6a50f730ee1dc821bee016a4b7feb7639e,Liquidify,Rejected
0x93decae913f62c0a86519d0b0798e4a10c46c541bfc14dcff0193d6b026e9532,LlamaPay,Rejected
0x6af74a9a8d1b53bc559f1341fdc76464ad4624641f9c5749ab327040b6319d2a,LogX,Rejected
0x7fd77f963d3383d7aa4dd67652c6554ce6f0661aad01afdbeaef33c3e5957a69,Loot2,Approved
0x640b373ea180a464679db947b03f611766e2fb911206470e3e041ad34c1ad7c2,MYSTCL ($MYST),Rejected
0x8e60d35b5b545cfb3a2264c6f95024c0359b00a3febcb7a56967934ce917783c,Manifold,Rejected
0xeb377d41abbae2f67ac73ca422839208377f5823d189b3435874946e194324ea,Maverick Protocol,Rejected
0x6c4b5386ddf396c088d3a96a65fb8a928a2a9edeb6eeb46ec6179acb5eaa23fe,Metronome,Approved
0x15b210abdc6acfd99e60255792b2b78714f4e8c92c4c5e91b898d48d046212a4,MiniBridge,Approved
0xb41e32621e56fbe7d89052f3c852ff70c6bfe21ba5a91910ef2fd548eb6e4e8a,Mintify,Rejected
0xaec46d1927be76868345f3c076c66b9991d6e2cb1f0589dabd768cf14638b34e,Mochimons,Rejected
0x83dcff4c909bbcc0a141c180a7a282180e14dbc11f3de8d288932a6b017cb86a,ModeChat.xyz | Onchain Social on Mode,Approved
0xd4f0252e6ac2408099cd40d213fb6f42e8fa129b446d6e8da55e673598ef14c0,Moonwell,Approved
0x2a2d2dbfa03619094fbeb6474776f2f3b5f6be443c8576abc6f3caa2c18dc45e,Morkie,Rejected
0xf1d9b05abe0f41beab3e5f4b829afd9a7ba3679829d4be72c45e0d340f7bffaa,Multicall3,Approved
0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c,Multicaller,Approved
0x37c2292c6316d1f9b796c3eeac2049e38f31eb3dee37db0e7987854de1b001d0,NFT HOOK,Rejected
0xd54e1032bf16d649f8f8f0a7da42a249966ad4a270b4c17b24ded1e32c97b2bf,NFTs2Me,Rejected
0x3890b8264147dbeaaefc6ba0eb6df0fca5fb7ebe508fa1ed87065c58387ead92,NiftyKit,Rejected
0x91b002c41ae45979dda4d66becc0d83fe92a20af00b59c1c5ab443492b896a0b,Nogem,Rejected
0xc8aefb795901b721da74124680a1ab4021a8753f474daaf351667c974d8bc72d,Noggles ($NOGS),Rejected
0xd5b4c54b12bf86f6eb67fec81032809a16ff1c4b4c7f0d5898fc86367db86ca6,ODOS,Approved
0x87c29aa0ad226c7f20cf3f37842ced2a795ad38a03a18f0829d1c09dbc77f51a,ORA Onchain AI Oracle on Optimism,Rejected
0xb926ab918147d2264dba94a429eb07986aa533fd6062a78736d3eda4e0b4a69b,Oku Trade,Rejected
0x6a39702efd7d2658c0b26f05397ea9802317e40404e9c5f3f37ceb9b3dfc71b9,Omni X,Rejected
0xd7a8e115b2b3772d7d5656d7798e349dcdedf2463302c78528c9e9686ab4efe3,OmniHub,Rejected
0x4373578c03f67b70d7f3e49681e901e66dc705efa292343c2370569cbb3245c5,Omnisea,Rejected
0x3ea87586a0d82cb8824a045fdd1a95b0397a02a7534dab5e4b3538afe43ddf39,Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,Rejected
0x24ff0fb2933e55b169a80d9bd35a00a7011795387717b27445ccdc0f8660d740,OpenOcean,Approved
0x66cce776ce6eaa99192120fc25b91ecc7b98e03210a08f0d3bfda82f542d3e1a,Opti.Domains,Approved
0xad43dc524ae73ce9398d0378c5ba9fa53c3394ac9e90f7b60df7b4a7d028f476,OptiChads NFT Community,Rejected
0x52d9a9709aeb50c10afb0f67a35f1a538bc6897c9f45161d39c37fd566fbe19a,Orderly Network,Approved
0xf900c29f3adf3153dbfbd974303e590850c0d2ced1966490c705290a63ffea1b,Overnight Finance,Approved
0x5bf4cb9356352d8d123d9925d213594088a16a5aacb407030a2b25de728217bd,Owlto Finance,Approved
0xa20b4eaab24516b287792b0d45c2cb890561f2db5910a6b9a2507bb4c8d84455,PAWS Wildlife Room Onchain Vote in a Frame,Rejected
0x351158069e6f06eb4a2fa36878e653ecee7089db3ed4a1e2af1d0fdeb6670e6a,PRINT3R,Rejected
0x40666399bef533ba8b13292f910c26f5523b057ed33a51d3d90d2fe0079a1c9e,ParaSwap,Rejected
0x9da706c1c51cd59ee70b5814c10246ed1a786cb1a77339e84d96ed006b5792ce,Paragraph,Rejected
0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,Party.app + Party Protocol,Approved
0x4cf98b5dec7f0f51eb6b88ecb15639bafc7320bdc6e21ac443f4c58ebeb1245b,Perp V2 - Curie,Approved
0x2d5167181143298e3d002d318d8b1d2917b8c3205a5634549c95cab0ff32cbdf,Pheasant Network,Rejected
0xfb9c6b3dcd75e0d0f4e0b0d4b27a4e1398ec6147eb1af3499eb8b87145bfa709,Phi,Rejected
0xc30088981419c79a913acb4d63a47fa6813a00d7419cdcfefde4a0f89b24b864,Pika Protocol,Rejected
0x28e90d2194452d0b959d1729eb5bc9183681bd891efb59aea2383b0ac7fd53f7,PiraNFT,Rejected
0x43c0bbbedc1c04715c3fb34b9387a0779a0d43092c716c29949e7099429eccdb,Pixotchi,Rejected
0x3e2458fd10201c3e66960a93e2a94e95861450bd29d040f6a077581fce165e29,Polynomial Trade,Rejected
0x45064f78302aeee0d4ea3667a39d3cffa25157b131aba8b1c0d9cfb7c085f87d,PoolTogether,Approved
0xc13c7f458b87400b3d435c48c9536276073ba4c2038bac2af8d9c40a6a9dcd14,Portals,Rejected
0x8a0f263d8dca18ceca0615836a5401c9dd31c7141ee439cd7020b4907e0b6c2e,Poster,Approved
0xd2c16680d3c90d9a121723d437ee7aaf7a13ec5e0c72a0ab032fc1ee8b928105,Preon Finance,Rejected
0x797dbac78f23a0c01378b0803063fe70618e7744ca516e5aef1e7ee244fded51,QiDao - Mai.Finance,Rejected
0xb908ea18fd164cf089649ba95887c221f5e8b93a08235dff43e33bd6617239dc,Ambire,Rejected
0x2b6c413a5b076f917ada28ac44b0995daee75f06678705d1eb75ff5da38bdd3b,RMRK,Approved
0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,Rainbow (Rainbow Router),Approved
0x78aa10e4a035b703753c0b399a608d22520a932ae7b7554f6ed148928a0a016a,Receipts,Rejected
0xab1ddf597f6539acc5ad601c2a6d2899c0475cfd9cc3b837939b1084ba5d7a36,Reserve Protocol,Approved
0x8016ec0d5302d0347a567897083883e11e112d7ed17319f88682213470a3ac49,Revert,Approved
0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6,Router Protocol,Rejected
0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373,RubyScore,Approved
0x278442aa60cfdfad09d58112baecb05486dde654b47db21fb3d2274a2639bd47,Scry Protocol,Approved
0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,Approved
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,Approved
0x79159d9bd4981ce68651fb4d585fd5827215309e503f46209adb0ec438f71b30,Slice,Approved
0xc9976099df2ee3d1b71e966f8e80ef907846f36152f2e5957fb31890f18cf76f,Slugs,Rejected
0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,Smol,Approved
0x892cf9449b4046f9b68efe6ffccfcd8df1322b1a9ffc65a2bbfe1207c4ceba8d,Pyth Network,Approved
0x636ce56a00ff90ba0bbe96b4d581a09414da0d3ed44b71ae38b29b9be7ff20a6,Sonne Finance,Approved
0x70a31809b59034a137b8ba57b092412879e779f0ea527f091776dca521edc7af,Sound.xyz,Approved
0xf1d424db61a36ef7e1bef62f6c62f00b2e5ff74ce12c9ca3d11d3dc39e7f14ea,Speedtracer,Rejected
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,Approved
0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,Stargate Finance,Rejected
0x848488156d9bfc5356583da57253193a258acebcdbc3ba2a10dc8ef81bd815fe,Streameth,Approved
0x4b987d79912367ada6c3fa1bf6ad1daa6d164078f8c5efc8db2128b9231087a9,Sturdy,Approved
0xf9a4e3b240bf6d40ee533e5ed63a8288b1a739ee382b1f23ccc5229b7bc8a498,Summer.fi,Rejected
0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,Superfluid,Approved
0x89d5dbc8003e6b6919273e991bba7d6a951491a408e47978a22baa046d225941,Supswap,Rejected
0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409,SwapBased,Rejected
0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463,SwapMode,Rejected
0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b,Synapse Protocol,Approved
0xd9bec9d0ab1167eb2d3618afac3145cb8a88b60d64b119c2b4cc8d822f4b8208,Synonym Finance,Rejected
0xcf10a15439ef8c56e1b6c22641544012bfd032c7b584d1160a7d743cb770875b,Synthetix,Approved
0x8b480f19bf914a4f811346b85a9410af55aa52622b745cbc46d4507c28838821,TITLES,Rejected
0x6bd6aba90e1e5cb41236bc52a96f5ce65686568ff95fe535c865658c73947198,TLX,Rejected
0x526522707f6c225a9bc7ea54e572f995eb3c794f34756f514d976c61729e8a8d,Tarot,Approved
0x7262ed9c020b3b41ac7ba405aab4ff37575f8b6f975ebed2e65554a08419f8f4,Sablier,Rejected
0x32544f86ae24d37df67bb6e7eb98eca5003932567225ed85e34f72bd0dc859db,Thales Protocol,Approved
0xc935089f9c7b01bef6ca8deade91e04ffa79f7e6fbe7141d4c30c3a76a855e5d,The Open X Project,Rejected
0xf1358b33be174954b454aebca311fc83753dc1d8c743e25c829091ccd69fedd0,Tiny Based Frogs,Rejected
0x0d1810bae195eec71762b45236d0b9fd0a37c3089f7c466453b86e961326f8a7,Tokepad,Rejected
0x935315db8c17993464cfb28337442ad60c6cd434305130a1d5d898e92d6d8123,Trash NFTs,Rejected
0x396426679c3986320a3aa0c23b69857c06cb41ff0c92ac81aaa0332e5200ec9c,UNCX Network,Rejected
0x6c7990e08e4fbbb37b7df628116d66e53a14dcc3328bbf124be3245bca366068,Umbra,Approved
0x59a9c9e954400f540020b2c61bbdac4d4bf1582c902fe7d49fa9fc0907ee3f4a,Union,Rejected
